Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
250	206	3	0	265	1	0	0	217	1406	3	0	0	1	0	0	209	54	9717	0	151	200
500	55	1	0	0	0	0	0	885	41	2	0	173	0	162	0	860	50	2952	0	731	831
750	21	6	0	1	0	0	0	1541	43	0	0	634	0	588	0	1494	41	2030	0	1296	1416
1000	10	3	0	0	0	0	0	2239	16	0	0	967	0	1057	0	2121	6	3022	13	1867	2049
1250	14	0	0	1	19	0	0	3150	89	0	0	1379	2	1620	0	2787	59	3801	0	2701	2655
1500	26	0	0	0	0	0	0	4198	21	0	0	1699	1	2141	0	3585	18	4945	0	3053	3298
1750	24	0	0	0	0	0	0	5077	14	0	0	2142	18	2739	0	4212	6	5671	1	3573	3855
2000	65	0	0	0	0	0	0	6188	22	0	0	3441	2	3561	0	4992	8	7953	1	4187	4694
2250	86	0	0	0	0	0	1	7503	29	0	0	4746	3	3975	0	5707	116	7945	0	5137	5119
2500	88	17	0	0	7	0	0	8522	165	0	0	5638	6	4744	0	6421	19	8447	0	5447	5958
2750	111	1	0	6	0	0	0	9594	6	0	0	6377	7	5501	0	7028	16	9656	0	6171	6524
3000	110	1	0	4	5	0	0	10539	31	0	0	6518	11	6437	0	7823	22	10459	0	7103	6985
3250	122	2	0	4	2	0	0	11394	10	0	0	7016	13	7097	0	8595	12	11300	0	7542	7802
3500	120	1	0	5	2	0	0	12546	19	0	0	7559	7	8084	0	9304	17	12361	0	8401	8248
3750	121	0	0	1	8	0	1	13671	30	0	0	8255	6	8896	0	9939	16	13518	0	9059	8912
4000	135	3	0	4	14	0	0	14123	44	0	0	8756	13	9823	0	10621	17	14433	0	9908	9463
4250	114	3	0	8	3	0	0	15079	60	15	0	10089	8	10830	0	11350	260	15499	0	10278	10253
4500	146	2	0	2	6	0	1	15975	100	0	0	10029	9	11506	0	12142	7	16280	0	11165	10908
4750	132	0	0	2	7	0	0	16616	124	1	0	11063	12	12373	0	12688	8	17173	0	11632	11265
5000	193	20	0	2	10	0	0	17485	186	1	0	11379	12	13155	0	13615	10	18276	0	12456	11942
5250	217	3	0	2	8	0	0	18364	743	0	0	11845	9	14038	0	14132	13	19418	0	12990	12576
5500	324	3	0	3	6	0	0	19106	36	1	0	12523	11	14807	0	15044	6	19864	0	13558	13271
5750	223	2	0	1	2	0	0	20020	22	0	0	13089	11	15598	0	15689	8	20966	0	14492	13829
6000	199	5	0	2	5	0	0	21434	34	0	0	13586	11	16364	0	16564	6	21823	0	15237	14353
